specialty,procedure_slug,procedure_name,image,width,height,sha256
orthopedics,carpal-tunnel-release,Carpal Tunnel Release,public/assets/img/final/procedure-carpal-tunnel-release.webp,1400,933,d2df58dd4af5cc9d2bf8159eafbb5ed9ec07b0df745c729f8235030d37a63c5e
orthopedics,knee-arthroscopy,Knee Arthroscopy,public/assets/img/final/procedure-knee-arthroscopy.webp,1400,933,166c6e5be9e004710993e7d68c2ea9af11fe16e9ab7265b6f43726011a605791
orthopedics,meniscus-repair,Meniscus Repair,public/assets/img/final/procedure-meniscus-repair.webp,1400,933,23e3b116bf7504a2e195a158199926e5d377f4a309882c2da0162be677e3c3ab
orthopedics,rotator-cuff-repair,Rotator Cuff Repair,public/assets/img/final/procedure-rotator-cuff-repair.webp,1400,933,5b9a85334aaed78e3b4896c66b1ab8bec3cfa13179c14fece1db9cc3e21634af
orthopedics,shoulder-arthroscopy,Shoulder Arthroscopy,public/assets/img/final/procedure-shoulder-arthroscopy.webp,1400,933,02a2e6792d40403dbcadb6ee920588281c2bd81db835c52b8c4132626c56e777
orthopedics,spinal-decompression,Spinal Decompression,public/assets/img/final/procedure-spinal-decompression.webp,1400,933,79b7dd99db8f5d62d1eaf04e888a6483df0569aa447e9672b2369b189c1a9de6
orthopedics,spinal-fusion,Spinal Fusion,public/assets/img/final/procedure-spinal-fusion.webp,1400,933,2235ee8e8ce0610a1560884d090d596a5cd11935011df2ed9f7a8281e6640a5c
orthopedics,total-hip-replacement,Total Hip Replacement,public/assets/img/final/procedure-total-hip-replacement.webp,1400,933,0ad5d483971f5c412928658ed83abb2c11a137258679376781402964fc4ade59
orthopedics,total-knee-replacement,Total Knee Replacement,public/assets/img/final/procedure-total-knee-replacement.webp,1400,933,78a73c01da5bfbd38fb63b184d10088b92162de6485c02ce312072ea3871656d
urology,holep,HoLEP,public/assets/img/final/procedure-holep.webp,1400,933,513448055d06940a39c334cc8a3dfceca9ffc346d26b2da4bba8d23043b9a425
urology,hydrocelectomy,Hydrocelectomy,public/assets/img/final/procedure-hydrocelectomy.webp,1400,933,c8817a6d872d69647852d47dd3e78b40c239cba089aaddf9e7a22f1679b1dc31
urology,penile-implant-surgery,Penile Implant Surgery,public/assets/img/final/procedure-penile-implant-surgery.webp,1400,933,26fb71d2fd71974de4018605337c6730acd1e1830dea7a3a8a6461f746dab7ca
urology,percutaneous-nephrolithotomy-pcnl,Percutaneous Nephrolithotomy (PCNL),public/assets/img/final/procedure-percutaneous-nephrolithotomy-pcnl.webp,1400,933,12c65dacd61750c5241a3cede7be2fe9cd1365442393a1a902a8988ccda337e0
urology,robotic-prostatectomy,Robotic Prostatectomy,public/assets/img/final/procedure-robotic-prostatectomy.webp,1400,933,ef35910691c5c7e4b506c4806afd51365e6157ffb2643862b748bb25620e0b30
urology,turp,TURP,public/assets/img/final/procedure-turp.webp,1400,933,deb53b1fea3e7ddbf7f99f649bc06be65f89026be6d7b5cf0df0a2a434206e59
urology,ureteroscopy-and-laser-lithotripsy,Ureteroscopy & Laser Lithotripsy,public/assets/img/final/procedure-ureteroscopy-and-laser-lithotripsy.webp,1400,933,8524448abde4e3dd12950072a5dc05210f5f97bb56a8b7558bc846a5d17734ec
urology,urethroplasty,Urethroplasty,public/assets/img/final/procedure-urethroplasty.webp,1400,933,47dcc06cec434a88a7f811700514dc499223cbaa55748e0ac90985e293d222cd
urology,urinary-incontinence-surgery,Urinary Incontinence Surgery,public/assets/img/final/procedure-urinary-incontinence-surgery.webp,1400,933,b80c6893a5ff24e013996cb37cf10af17e2793cc270580f1949bf53c8cd566e2
urology,varicocelectomy,Varicocelectomy,public/assets/img/final/procedure-varicocelectomy.webp,1400,933,8f900a125aec90f73a0d154c82611f56a7e8c68fb14e9f1bb9bf08844445223f
